trial,register,rdistance,strength,edistance
0,0.0,138.0,-116.0,145
0,0.0,138.0,5.0,145
0,0.0,138.0,-43.0,145
0,0.0,138.0,-145.0,145
0,0.0,138.0,-57.0,145
0,0.0,138.0,-33.0,145
0,0.0,138.0,-208.0,145
0,0.0,138.0,-84.0,145
0,0.0,138.0,7.0,145
0,0.0,138.0,-125.0,145
0,0.0,138.0,-43.0,145
0,0.0,138.0,-60.0,145
0,0.0,138.0,-50.0,145
0,0.0,138.0,-135.0,145
0,0.0,138.0,-131.0,145
0,0.0,138.0,2.0,145
0,0.0,138.0,-49.0,145
0,0.0,138.0,-69.0,145
0,0.0,138.0,-76.0,145
0,0.0,138.0,-190.0,145
0,0.0,138.0,-45.0,145
0,0.0,138.0,-64.0,145
0,0.0,138.0,-63.0,145
0,0.0,138.0,-69.0,145
0,0.0,138.0,-5.0,145
0,0.0,138.0,-157.0,145
0,0.0,138.0,-24.0,145
0,0.0,138.0,-84.0,145
0,0.0,138.0,-59.0,145
0,0.0,138.0,-233.0,145
0,0.0,138.0,-71.0,145
0,0.0,138.0,-205.0,145
0,0.0,138.0,-178.0,145
0,0.0,138.0,-195.0,145
0,0.0,138.0,-218.0,145
0,0.0,138.0,-78.0,145
0,0.0,138.0,-244.0,145
0,0.0,138.0,-53.0,145
0,0.0,138.0,-303.0,145
0,0.0,138.0,-51.0,145
0,0.0,138.0,-109.0,145
0,0.0,138.0,-78.0,145
0,0.0,138.0,-142.0,145
0,0.0,138.0,27.0,145
0,0.0,138.0,-131.0,145
0,0.0,138.0,-234.0,145
0,0.0,138.0,-202.0,145
0,0.0,138.0,-126.0,145
0,0.0,138.0,-342.0,145
0,0.0,138.0,-119.0,145
1,0.0,133.0,-180.0,140
1,0.0,133.0,-251.0,140
1,0.0,133.0,-229.0,140
1,0.0,133.0,-389.0,140
1,0.0,133.0,-211.0,140
1,0.0,133.0,-100.0,140
1,0.0,133.0,-221.0,140
1,0.0,133.0,-291.0,140
1,0.0,133.0,-262.0,140
1,0.0,133.0,-219.0,140
1,0.0,133.0,-137.0,140
1,0.0,133.0,-176.0,140
1,0.0,133.0,-148.0,140
1,0.0,133.0,-222.0,140
1,0.0,133.0,-227.0,140
1,0.0,133.0,-242.0,140
1,0.0,133.0,-96.0,140
1,0.0,133.0,-236.0,140
1,0.0,133.0,-191.0,140
1,0.0,133.0,-204.0,140
1,0.0,133.0,-188.0,140
1,0.0,133.0,-328.0,140
1,0.0,133.0,-257.0,140
1,0.0,133.0,-291.0,140
1,0.0,133.0,-144.0,140
1,0.0,133.0,-231.0,140
1,0.0,133.0,-257.0,140
1,0.0,133.0,-183.0,140
1,0.0,133.0,-159.0,140
1,0.0,133.0,-266.0,140
1,0.0,133.0,-110.0,140
1,0.0,133.0,-236.0,140
1,0.0,133.0,-342.0,140
1,0.0,133.0,-296.0,140
1,0.0,133.0,-377.0,140
1,0.0,133.0,-166.0,140
1,0.0,133.0,-195.0,140
1,0.0,133.0,-285.0,140
