trial,host_frame_id,sensor,i2c_addr_hex,bins,firmware_frame_id,t_ms,bin_index,I,Q,expected_distance_mm
0,10,BACK,0x52,53,11,1311668,0,5508.200195,-2819.399902,
0,10,BACK,0x52,53,11,1311668,1,0.000000,69.699997,
0,10,BACK,0x52,53,11,1311668,2,0.000000,60.200001,
0,10,BACK,0x52,53,11,1311668,3,0.500000,49.700001,
0,10,BACK,0x52,53,11,1311668,4,1.800000,39.000000,
0,10,BACK,0x52,53,11,1311668,5,6.500000,33.200001,
0,10,BACK,0x52,53,11,1311668,6,9.400000,27.500000,
0,10,BACK,0x52,53,11,1311668,7,7.400000,24.000000,
0,10,BACK,0x52,53,11,1311668,8,7.600000,19.900000,
0,10,BACK,0x52,53,11,1311668,9,8.100000,18.200001,
0,10,BACK,0x52,53,11,1311668,10,8.500000,14.900000,
0,10,BACK,0x52,53,11,1311668,11,9.200000,13.500000,
0,10,BACK,0x52,53,11,1311668,12,9.500000,11.700000,
0,10,BACK,0x52,53,11,1311668,13,11.500000,7.800000,
0,10,BACK,0x52,53,11,1311668,14,13.800000,6.200000,
0,10,BACK,0x52,53,11,1311668,15,16.600000,3.400000,
0,10,BACK,0x52,53,11,1311668,16,21.200001,0.900000,
0,10,BACK,0x52,53,11,1311668,17,23.100000,2.600000,
0,10,BACK,0x52,53,11,1311668,18,24.600000,1.500000,
0,10,BACK,0x52,53,11,1311668,19,23.400000,10.300000,
0,10,BACK,0x52,53,11,1311668,20,18.299999,31.900000,
0,10,BACK,0x52,53,11,1311668,21,24.500000,63.900002,
0,10,BACK,0x52,53,11,1311668,22,17.299999,129.800003,
0,10,BACK,0x52,53,11,1311668,23,35.299999,208.300003,
0,10,BACK,0x52,53,11,1311668,24,71.800003,294.299988,
0,10,BACK,0x52,53,11,1311668,25,100.699997,384.600006,
0,10,BACK,0x52,53,11,1311668,26,103.800003,470.799988,
0,10,BACK,0x52,53,11,1311668,27,191.500000,548.299988,
0,10,BACK,0x52,53,11,1311668,28,192.500000,654.099976,
0,10,BACK,0x52,53,11,1311668,29,296.700012,744.799988,
0,10,BACK,0x52,53,11,1311668,30,335.899994,752.799988,
0,10,BACK,0x52,53,11,1311668,31,404.500000,798.500000,
0,10,BACK,0x52,53,11,1311668,32,452.399994,807.299988,
0,10,BACK,0x52,53,11,1311668,33,501.700012,773.799988,
0,10,BACK,0x52,53,11,1311668,34,524.900024,699.500000,
0,10,BACK,0x52,53,11,1311668,35,567.700012,634.799988,
0,10,BACK,0x52,53,11,1311668,36,512.900024,592.200012,
0,10,BACK,0x52,53,11,1311668,37,515.799988,463.799988,
0,10,BACK,0x52,53,11,1311668,38,490.000000,421.299988,
0,10,BACK,0x52,53,11,1311668,39,458.399994,329.200012,
0,10,BACK,0x52,53,11,1311668,40,434.799988,229.899994,
0,10,BACK,0x52,53,11,1311668,41,354.600006,247.800003,
0,10,BACK,0x52,53,11,1311668,42,325.600006,153.000000,
0,10,BACK,0x52,53,11,1311668,43,287.600006,98.500000,
0,10,BACK,0x52,53,11,1311668,44,224.199997,96.800003,
0,10,BACK,0x52,53,11,1311668,45,186.399994,57.900002,
0,10,BACK,0x52,53,11,1311668,46,142.600006,46.700001,
0,10,BACK,0x52,53,11,1311668,47,112.000000,20.000000,
0,10,BACK,0x52,53,11,1311668,48,83.400002,5.900000,
0,10,BACK,0x52,53,11,1311668,49,54.099998,-11.900000,
0,10,BACK,0x52,53,11,1311668,50,36.599998,-14.600000,
0,10,BACK,0x52,53,11,1311668,51,23.200001,-20.000000,
0,10,BACK,0x52,53,11,1311668,52,12.000000,-20.200001,
0,11,BACK,0x52,53,12,1312600,0,5537.000000,-2599.000000,
0,11,BACK,0x52,53,12,1312600,1,0.000000,67.300003,
0,11,BACK,0x52,53,12,1312600,2,0.000000,58.400002,
0,11,BACK,0x52,53,12,1312600,3,0.000000,50.200001,
0,11,BACK,0x52,53,12,1312600,4,0.000000,39.700001,
