trial,register,rdistance,strength,recalibrated,edistance
0,0.0,80.0,-632.0,0,95
0,10.0,65.0,-11714.0,0,95
0,0.0,80.0,-571.0,0,95
0,10.0,65.0,-11667.0,0,95
0,0.0,80.0,-557.0,0,95
0,10.0,65.0,-11805.0,0,95
0,0.0,80.0,-514.0,0,95
0,10.0,65.0,-11629.0,0,95
0,0.0,80.0,-544.0,0,95
0,10.0,65.0,-11635.0,0,95
0,0.0,80.0,-608.0,0,95
0,10.0,65.0,-11744.0,0,95
0,0.0,80.0,-598.0,0,95
0,10.0,65.0,-11753.0,0,95
0,0.0,80.0,-580.0,0,95
0,10.0,65.0,-11695.0,0,95
0,0.0,80.0,-606.0,0,95
0,10.0,65.0,-11791.0,0,95
0,0.0,80.0,-657.0,0,95
0,10.0,65.0,-11713.0,0,95
0,0.0,80.0,-556.0,0,95
0,10.0,65.0,-11723.0,0,95
0,0.0,80.0,-581.0,0,95
0,10.0,65.0,-11661.0,0,95
0,0.0,80.0,-569.0,0,95
0,10.0,65.0,-11735.0,0,95
0,0.0,80.0,-615.0,0,95
0,10.0,65.0,-11766.0,0,95
0,0.0,80.0,-571.0,0,95
0,10.0,65.0,-11674.0,0,95
0,0.0,80.0,-634.0,0,95
0,10.0,65.0,-11698.0,0,95
0,0.0,79.0,-715.0,0,95
0,10.0,65.0,-11751.0,0,95
0,0.0,80.0,-585.0,0,95
0,10.0,65.0,-11747.0,0,95
0,0.0,80.0,-541.0,0,95
0,10.0,65.0,-11778.0,0,95
0,0.0,80.0,-646.0,0,95
0,10.0,65.0,-11667.0,0,95
0,0.0,80.0,-595.0,0,95
0,10.0,65.0,-11880.0,0,95
0,0.0,80.0,-579.0,0,95
0,10.0,65.0,-11608.0,0,95
0,0.0,80.0,-553.0,0,95
0,10.0,65.0,-11854.0,0,95
0,0.0,80.0,-591.0,0,95
0,10.0,65.0,-11765.0,0,95
0,0.0,80.0,-602.0,0,95
0,10.0,65.0,-11742.0,0,95
1,0.0,77.0,3206.0,0,93
1,10.0,58.0,-12257.0,0,93
1,0.0,77.0,3185.0,0,93
1,10.0,58.0,-12211.0,0,93
1,0.0,77.0,3253.0,0,93
1,10.0,58.0,-12194.0,0,93
1,0.0,77.0,3261.0,0,93
1,10.0,58.0,-12361.0,0,93
1,0.0,77.0,3197.0,0,93
1,10.0,58.0,-12239.0,0,93
1,0.0,77.0,3259.0,0,93
1,10.0,58.0,-12168.0,0,93
1,0.0,77.0,3259.0,0,93
1,10.0,58.0,-12249.0,0,93
1,0.0,77.0,3203.0,0,93
1,10.0,57.0,-12208.0,0,93
1,0.0,77.0,3231.0,0,93
1,10.0,58.0,-12205.0,0,93
1,0.0,77.0,3238.0,0,93
1,10.0,58.0,-12144.0,0,93
1,0.0,77.0,3212.0,0,93
1,10.0,58.0,-12259.0,0,93
1,0.0,77.0,3201.0,0,93
1,10.0,58.0,-12175.0,0,93
1,0.0,77.0,3116.0,0,93
1,10.0,57.0,-12243.0,0,93
1,0.0,77.0,3207.0,0,93
1,10.0,57.0,-12221.0,0,93
1,0.0,77.0,3268.0,0,93
1,10.0,58.0,-12136.0,0,93
1,0.0,77.0,3231.0,0,93
1,10.0,58.0,-12201.0,0,93
1,0.0,77.0,3193.0,0,93
1,10.0,58.0,-12221.0,0,93
1,0.0,77.0,3242.0,0,93
1,10.0,58.0,-12137.0,0,93
1,0.0,77.0,3299.0,0,93
1,10.0,58.0,-12102.0,0,93
1,0.0,77.0,3248.0,0,93
1,10.0,58.0,-12232.0,0,93
1,0.0,77.0,3170.0,0,93
1,10.0,58.0,-12204.0,0,93
1,0.0,77.0,3246.0,0,93
1,10.0,58.0,-12308.0,0,93
1,0.0,77.0,3179.0,0,93
1,10.0,58.0,-12290.0,0,93
1,0.0,77.0,3229.0,0,93
1,10.0,58.0,-12250.0,0,93
1,0.0,77.0,3179.0,0,93
1,10.0,58.0,-12260.0,0,93
2,0.0,82.0,3062.0,0,91
2,10.0,54.0,-13320.0,0,91
2,0.0,82.0,3058.0,0,91
2,10.0,54.0,-13216.0,0,91
2,0.0,82.0,3066.0,0,91
2,10.0,54.0,-13319.0,0,91
2,0.0,82.0,3116.0,0,91
2,10.0,54.0,-13294.0,0,91
2,0.0,82.0,3097.0,0,91
2,10.0,54.0,-13305.0,0,91
2,0.0,82.0,3085.0,0,91
2,10.0,54.0,-13297.0,0,91
2,0.0,82.0,3102.0,0,91
2,10.0,54.0,-13314.0,0,91
2,0.0,82.0,3086.0,0,91
2,10.0,54.0,-13289.0,0,91
2,0.0,82.0,3080.0,0,91
2,10.0,54.0,-13338.0,0,91
2,0.0,82.0,3104.0,0,91
2,10.0,54.0,-13411.0,0,91
2,0.0,82.0,3071.0,0,91
2,10.0,54.0,-13230.0,0,91
2,0.0,82.0,3073.0,0,91
2,10.0,54.0,-13291.0,0,91
2,0.0,82.0,3074.0,0,91
2,10.0,54.0,-13341.0,0,91
2,0.0,82.0,3054.0,0,91
2,10.0,54.0,-13359.0,0,91
2,0.0,82.0,3117.0,0,91
2,10.0,54.0,-13285.0,0,91
2,0.0,82.0,3130.0,0,91
2,10.0,54.0,-13378.0,0,91
2,0.0,82.0,3057.0,0,91
2,10.0,54.0,-13333.0,0,91
2,0.0,82.0,3067.0,0,91
2,10.0,54.0,-13240.0,0,91
2,0.0,82.0,3099.0,0,91
2,10.0,54.0,-13263.0,0,91
2,0.0,82.0,3094.0,0,91
2,10.0,54.0,-13344.0,0,91
2,0.0,82.0,3091.0,0,91
2,10.0,54.0,-13355.0,0,91
2,0.0,82.0,3107.0,0,91
2,10.0,54.0,-13287.0,0,91
2,0.0,82.0,3100.0,0,91
2,10.0,54.0,-13333.0,0,91
2,0.0,82.0,3060.0,0,91
2,10.0,54.0,-13200.0,0,91
2,0.0,82.0,3118.0,0,91
2,10.0,54.0,-13278.0,0,91
3,0.0,88.0,2809.0,0,89
3,10.0,48.0,-14812.0,0,89
3,0.0,88.0,2813.0,0,89
3,10.0,45.0,-15280.0,0,89
3,0.0,88.0,2793.0,0,89
3,10.0,47.0,-14833.0,0,89
3,0.0,88.0,2816.0,0,89
3,10.0,48.0,-14890.0,0,89
3,0.0,88.0,2789.0,0,89
3,10.0,49.0,-14684.0,0,89
3,0.0,88.0,2828.0,0,89
3,10.0,47.0,-14998.0,0,89
3,0.0,88.0,2773.0,0,89
3,10.0,47.0,-14975.0,0,89
3,0.0,88.0,2803.0,0,89
3,10.0,47.0,-14953.0,0,89
3,0.0,88.0,2791.0,0,89
3,10.0,48.0,-14940.0,0,89
3,0.0,88.0,2822.0,0,89
3,10.0,47.0,-14941.0,0,89
