trial,register,rdistance,strength,edistance
0,0.0,85.0,-5088.0,95
0,0.0,85.0,-5140.0,95
0,0.0,85.0,-5296.0,95
0,0.0,85.0,-5173.0,95
0,0.0,85.0,-5076.0,95
0,0.0,85.0,-5197.0,95
0,0.0,85.0,-5129.0,95
0,0.0,85.0,-5155.0,95
0,0.0,85.0,-5205.0,95
0,0.0,85.0,-5048.0,95
0,0.0,85.0,-5198.0,95
0,0.0,85.0,-5010.0,95
0,0.0,85.0,-5173.0,95
0,0.0,85.0,-5181.0,95
0,0.0,85.0,-5270.0,95
0,0.0,85.0,-5212.0,95
0,0.0,85.0,-5325.0,95
0,0.0,85.0,-5168.0,95
0,0.0,85.0,-5064.0,95
0,0.0,85.0,-5177.0,95
0,0.0,85.0,-5258.0,95
0,0.0,85.0,-5175.0,95
0,0.0,85.0,-5137.0,95
0,0.0,85.0,-5242.0,95
0,0.0,85.0,-5182.0,95
0,0.0,85.0,-5135.0,95
0,0.0,85.0,-5194.0,95
0,0.0,84.0,-5318.0,95
0,0.0,85.0,-5192.0,95
0,0.0,85.0,-5212.0,95
0,0.0,85.0,-5281.0,95
0,0.0,85.0,-5146.0,95
0,0.0,85.0,-5199.0,95
0,0.0,85.0,-5270.0,95
0,0.0,85.0,-5303.0,95
0,0.0,85.0,-5101.0,95
0,0.0,85.0,-5221.0,95
0,0.0,85.0,-5098.0,95
0,0.0,85.0,-5166.0,95
0,0.0,85.0,-5293.0,95
0,0.0,85.0,-5245.0,95
0,0.0,85.0,-5188.0,95
0,0.0,85.0,-5198.0,95
0,0.0,85.0,-5164.0,95
0,0.0,85.0,-5115.0,95
0,0.0,84.0,-5225.0,95
0,0.0,85.0,-5144.0,95
0,0.0,85.0,-5210.0,95
0,0.0,85.0,-5147.0,95
0,0.0,85.0,-5229.0,95
1,0.0,83.0,-4618.0,93
1,0.0,83.0,-4531.0,93
1,0.0,83.0,-4492.0,93
1,0.0,83.0,-4553.0,93
1,0.0,83.0,-4626.0,93
1,0.0,83.0,-4418.0,93
1,0.0,83.0,-4573.0,93
1,0.0,83.0,-4544.0,93
1,0.0,83.0,-4579.0,93
1,0.0,83.0,-4634.0,93
1,0.0,83.0,-4600.0,93
1,0.0,83.0,-4608.0,93
1,0.0,83.0,-4501.0,93
1,0.0,83.0,-4604.0,93
1,0.0,83.0,-4604.0,93
1,0.0,83.0,-4598.0,93
1,0.0,83.0,-4499.0,93
1,0.0,83.0,-4593.0,93
1,0.0,83.0,-4463.0,93
1,0.0,83.0,-4688.0,93
1,0.0,83.0,-4521.0,93
1,0.0,83.0,-4576.0,93
1,0.0,83.0,-4565.0,93
1,0.0,83.0,-4557.0,93
1,0.0,83.0,-4628.0,93
1,0.0,83.0,-4509.0,93
1,0.0,83.0,-4665.0,93
1,0.0,83.0,-4574.0,93
1,0.0,83.0,-4647.0,93
1,0.0,83.0,-4564.0,93
1,0.0,83.0,-4597.0,93
1,0.0,83.0,-4589.0,93
1,0.0,83.0,-4595.0,93
1,0.0,83.0,-4618.0,93
1,0.0,83.0,-4563.0,93
1,0.0,83.0,-4651.0,93
1,0.0,83.0,-4590.0,93
1,0.0,83.0,-4610.0,93
1,0.0,83.0,-4588.0,93
1,0.0,83.0,-4722.0,93
1,0.0,83.0,-4575.0,93
1,0.0,83.0,-4495.0,93
1,0.0,83.0,-4631.0,93
1,0.0,83.0,-4636.0,93
1,0.0,83.0,-4646.0,93
1,0.0,83.0,-4556.0,93
1,0.0,83.0,-4575.0,93
1,0.0,83.0,-4562.0,93
1,0.0,83.0,-4607.0,93
1,0.0,83.0,-4528.0,93
2,0.0,83.0,-3394.0,91
2,0.0,83.0,-3487.0,91
2,0.0,83.0,-3479.0,91
2,0.0,83.0,-3571.0,91
