trial,register,rdistance,strength,recalibrated,edistance
0,0.0,67.0,2862.0,0,95
0,10.0,74.0,-17423.0,0,95
0,0.0,67.0,2847.0,0,95
0,10.0,74.0,-17490.0,0,95
0,0.0,67.0,2850.0,0,95
0,10.0,74.0,-17521.0,0,95
0,0.0,66.0,2782.0,0,95
0,10.0,74.0,-17537.0,0,95
0,0.0,67.0,2797.0,0,95
0,10.0,74.0,-17522.0,0,95
0,0.0,67.0,2772.0,0,95
0,10.0,74.0,-17405.0,0,95
0,0.0,67.0,2762.0,0,95
0,10.0,74.0,-17546.0,0,95
0,0.0,67.0,2809.0,0,95
0,10.0,74.0,-17448.0,0,95
0,0.0,67.0,2832.0,0,95
0,10.0,73.0,-17500.0,0,95
0,0.0,66.0,2799.0,0,95
0,10.0,74.0,-17466.0,0,95
0,0.0,67.0,2747.0,0,95
0,10.0,74.0,-17530.0,0,95
0,0.0,67.0,2804.0,0,95
0,10.0,74.0,-17569.0,0,95
0,0.0,67.0,2732.0,0,95
0,10.0,74.0,-17605.0,0,95
0,0.0,67.0,2755.0,0,95
0,10.0,74.0,-17563.0,0,95
0,0.0,67.0,2772.0,0,95
0,10.0,74.0,-17549.0,0,95
0,0.0,67.0,2713.0,0,95
0,10.0,74.0,-17588.0,0,95
0,0.0,67.0,2741.0,0,95
0,10.0,74.0,-17570.0,0,95
0,0.0,67.0,2764.0,0,95
0,10.0,74.0,-17550.0,0,95
0,0.0,67.0,2700.0,0,95
0,10.0,74.0,-17545.0,0,95
0,0.0,67.0,2726.0,0,95
0,10.0,74.0,-17660.0,0,95
0,0.0,67.0,2769.0,0,95
0,10.0,74.0,-17607.0,0,95
0,0.0,66.0,2723.0,0,95
0,10.0,74.0,-17629.0,0,95
0,0.0,67.0,2712.0,0,95
0,10.0,74.0,-17662.0,0,95
0,0.0,67.0,2785.0,0,95
0,10.0,74.0,-17813.0,0,95
0,0.0,67.0,2722.0,0,95
0,10.0,74.0,-17698.0,0,95
1,0.0,75.0,1721.0,0,93
1,10.0,61.0,-19536.0,0,93
1,0.0,75.0,1757.0,0,93
1,10.0,61.0,-19286.0,0,93
1,0.0,75.0,1683.0,0,93
1,10.0,61.0,-19610.0,0,93
1,0.0,75.0,1707.0,0,93
1,10.0,62.0,-19543.0,0,93
1,0.0,75.0,1720.0,0,93
1,10.0,61.0,-19401.0,0,93
1,0.0,75.0,1720.0,0,93
1,10.0,61.0,-19629.0,0,93
1,0.0,75.0,1732.0,0,93
1,10.0,61.0,-19414.0,0,93
1,0.0,75.0,1702.0,0,93
1,10.0,61.0,-19473.0,0,93
1,0.0,75.0,1701.0,0,93
1,10.0,62.0,-19438.0,0,93
1,0.0,75.0,1712.0,0,93
1,10.0,62.0,-19499.0,0,93
1,0.0,75.0,1726.0,0,93
1,10.0,62.0,-19443.0,0,93
1,0.0,75.0,1732.0,0,93
1,10.0,61.0,-19463.0,0,93
1,0.0,75.0,1698.0,0,93
1,10.0,62.0,-19488.0,0,93
1,0.0,75.0,1762.0,0,93
1,10.0,61.0,-19441.0,0,93
1,0.0,75.0,1761.0,0,93
1,10.0,62.0,-19436.0,0,93
1,0.0,75.0,1715.0,0,93
1,10.0,62.0,-19414.0,0,93
1,0.0,75.0,1739.0,0,93
1,10.0,61.0,-19460.0,0,93
1,0.0,75.0,1788.0,0,93
1,10.0,61.0,-19295.0,0,93
1,0.0,75.0,1767.0,0,93
1,10.0,62.0,-19515.0,0,93
1,0.0,75.0,1774.0,0,93
1,10.0,62.0,-19454.0,0,93
1,0.0,75.0,1763.0,0,93
1,10.0,61.0,-19472.0,0,93
1,0.0,75.0,1775.0,0,93
1,10.0,61.0,-19499.0,0,93
1,0.0,75.0,1743.0,0,93
1,10.0,61.0,-19534.0,0,93
1,0.0,75.0,1705.0,0,93
1,10.0,61.0,-19565.0,0,93
1,0.0,75.0,1745.0,0,93
1,10.0,61.0,-19468.0,0,93
2,0.0,78.0,2516.0,0,91
2,10.0,54.0,-19607.0,0,91
2,0.0,78.0,2516.0,0,91
2,10.0,53.0,-19883.0,0,91
2,0.0,78.0,2516.0,0,91
2,10.0,54.0,-19720.0,0,91
2,0.0,78.0,2509.0,0,91
2,10.0,53.0,-19704.0,0,91
2,0.0,78.0,2515.0,0,91
2,10.0,53.0,-19766.0,0,91
2,0.0,78.0,2551.0,0,91
2,10.0,53.0,-19842.0,0,91
2,0.0,78.0,2521.0,0,91
2,10.0,53.0,-19807.0,0,91
2,0.0,78.0,2558.0,0,91
2,10.0,54.0,-19713.0,0,91
2,0.0,78.0,2508.0,0,91
2,10.0,54.0,-19810.0,0,91
2,0.0,78.0,2556.0,0,91
2,10.0,54.0,-19818.0,0,91
2,0.0,78.0,2528.0,0,91
2,10.0,54.0,-19781.0,0,91
2,0.0,78.0,2515.0,0,91
2,10.0,54.0,-19681.0,0,91
2,0.0,78.0,2506.0,0,91
2,10.0,54.0,-19753.0,0,91
2,0.0,78.0,2506.0,0,91
2,10.0,53.0,-19803.0,0,91
2,0.0,78.0,2487.0,0,91
2,10.0,54.0,-19940.0,0,91
2,0.0,78.0,2514.0,0,91
