trial,register,rdistance,strength,recalibrated,edistance
0,0.0,5454.399902,-2864.199951,0,100
0,1.0,0.0,64.900002,0,100
0,2.0,0.0,54.400002,0,100
0,3.0,2.1,44.299999,0,100
0,4.0,2.0,32.598999,0,100
0,5.0,5.4,25.0,0,100
0,6.0,7.0,20.1,0,100
0,7.0,6.6,15.8,0,100
0,8.0,7.3,12.7,0,100
0,9.0,6.2,9.4,0,100
0,10.0,5.9,7.8,0,100
0,11.0,6.6,5.0,0,100
0,12.0,5.7,4.5,0,100
0,13.0,5.4,2.5,0,100
0,14.0,5.2,2.0,0,100
0,15.0,4.5,0.8,0,100
0,16.0,3.9,0.8,0,100
0,17.0,3.9,3.0,0,100
0,18.0,5.7,4.3,0,100
0,19.0,6.1,6.3,0,100
0,20.0,8.0,10.1,0,100
0,21.0,11.9,10.8,0,100
0,22.0,14.7,14.7,0,100
0,23.0,16.4,18.1,0,100
0,24.0,17.0,24.1,0,100
0,25.0,11.7,36.200001,0,100
0,26.0,0.0,57.700001,0,100
0,27.0,0.0,89.199997,0,100
0,28.0,0.0,136.699997,0,100
0,29.0,0.0,192.600006,0,100
0,30.0,0.0,246.600006,0,100
0,31.0,0.0,295.5,0,100
0,32.0,0.0,361.0,0,100
0,33.0,0.0,418.399994,0,100
0,34.0,0.0,483.600006,0,100
0,35.0,0.0,524.098999,0,100
0,36.0,0.0,547.0,0,100
0,37.0,0.0,605.099976,0,100
0,38.0,0.0,615.200012,0,100
0,39.0,0.0,591.099976,0,100
0,40.0,0.0,581.599976,0,100
0,41.0,0.0,553.900024,0,100
0,42.0,0.0,542.099976,0,100
0,43.0,0.0,512.098999,0,100
0,44.0,0.0,452.899994,0,100
0,45.0,0.0,408.700012,0,100
0,46.0,0.0,368.100006,0,100
0,47.0,0.0,320.200012,0,100
0,48.0,0.0,289.5,0,100
0,49.0,0.0,243.300003,0,100
0,50.0,0.0,194.5,0,100
0,51.0,0.0,168.100006,0,100
0,52.0,0.0,119.199997,0,100
0,0.0,5236.5,-3234.800049,0,100
0,1.0,0.0,67.800003,0,100
0,2.0,0.4,58.5,0,100
0,3.0,6.0,46.099998,0,100
0,4.0,4.0,34.299999,0,100
0,5.0,8.2,26.9,0,100
0,6.0,10.6,21.700001,0,100
0,7.0,8.7,16.799999,0,100
0,8.0,8.5,13.7,0,100
0,9.0,7.5,10.3,0,100
0,10.0,7.7,7.8,0,100
0,11.0,7.6,5.6,0,100
0,12.0,7.3,5.1,0,100
0,13.0,6.5,2.4,0,100
0,14.0,6.3,1.6,0,100
0,15.0,5.4,0.5,0,100
0,16.0,5.6,1.0,0,100
0,17.0,4.7,3.4,0,100
0,18.0,6.1,5.1,0,100
0,19.0,6.2,5.8,0,100
0,20.0,10.4,10.0,0,100
0,21.0,14.0,11.6,0,100
0,22.0,18.1,14.7,0,100
0,23.0,18.9,19.9,0,100
0,24.0,19.4,25.4,0,100
0,25.0,14.4,38.5,0,100
0,26.0,2.8,63.0,0,100
0,27.0,0.0,94.900002,0,100
0,28.0,0.0,140.0,0,100
0,29.0,0.0,199.5,0,100
0,30.0,0.0,254.800003,0,100
0,31.0,0.0,310.700012,0,100
0,32.0,0.0,373.600006,0,100
0,33.0,0.0,433.5,0,100
0,34.0,0.0,492.899994,0,100
0,35.0,0.0,537.0,0,100
